	sentence	v	a	d
299	alienation	2.5	5.1	3.3
300	alight	5.7	3.9	5.9
301	align	6.0	3.3	6.0
302	alignment	6.0	3.9	6.3
303	alimony	3.9	3.1	4.3
304	alive	6.6	5.9	6.8
305	allegation	3.3	5.9	4.0
306	alleged	3.6	5.1	4.3
307	allegiance	5.8	5.2	7.0
308	allegro	5.0	3.9	5.4
309	allergic	3.0	5.4	3.8
310	allergy	2.9	3.9	3.5
311	alleviate	6.2	3.4	5.8
312	alley	4.2	4.1	4.6
313	alleyway	3.5	3.7	5.2
314	alliance	6.1	4.4	5.8
315	allied	6.0	3.4	5.4
316	alligator	4.2	5.4	4.1
317	allow	6.4	3.0	6.1
318	allowance	6.7	4.0	5.7
319	alloy	5.2	3.3	5.9
320	allure	6.9	4.2	5.8
321	alluring	6.7	4.4	5.9
322	ally	6.0	4.8	6.8
323	almanac	5.6	3.2	5.9
324	almighty	6.2	4.6	5.8
325	almond	6.0	2.9	6.5
326	aloha	7.1	3.8	6.3
327	alone	3.8	4.0	4.5
328	aloof	4.6	3.1	4.6
329	alpha	5.5	3.7	6.3
330	alphabet	6.0	3.2	5.8
331	alphabetical	6.3	3.0	6.1
332	alpine	5.8	3.5	5.7
333	altar	5.6	4.0	5.7
334	altar boy	4.8	3.1	4.6
335	alter	4.6	4.2	5.6
336	alteration	5.0	4.0	6.2
337	altercation	3.6	5.6	4.4
338	alternate	5.2	3.5	5.2
339	alternating	5.4	4.3	5.5
340	alternative	5.3	3.6	6.3
341	altimeter	4.5	3.6	5.0
342	altitude	5.3	4.2	5.5
343	aluminum	5.1	4.0	6.0
344	alumnus	5.0	3.2	6.1
345	alzheimers	2.3	4.5	2.0
346	amaretto	6.0	4.0	5.2
347	amateur	4.6	3.6	5.2
348	amaze	7.2	5.0	5.8
349	amazed	7.6	6.0	6.1
350	amazement	7.3	6.3	6.4
351	amazing	7.7	6.0	6.8
352	ambassador	5.5	3.9	6.2
353	amber	6.2	3.4	6.2
354	ambience	6.4	3.8	5.6
355	ambient	6.3	3.2	4.9
356	ambiguous	5.2	4.0	5.1
357	ambition	7.3	4.9	6.4
358	ambitious	6.3	5.8	5.9
359	ambrosia	6.0	4.0	5.7
360	ambulance	3.7	5.3	3.3
361	ambush	3.2	5.6	4.0
362	amend	5.8	3.1	5.0
363	amendment	5.6	3.5	4.8
364	amends	6.7	4.0	6.0
365	amiable	6.7	2.8	6.1
366	amino	4.4	3.8	5.7
367	ammo	4.2	5.5	5.5
368	ammonia	3.7	3.0	3.8
369	ammonium	4.1	4.4	4.8
370	ammunition	4.6	5.7	6.0
371	amnesia	3.4	5.0	3.1
372	amnesty	5.4	3.9	6.0
373	amorous	6.0	4.2	6.0
374	amount	5.4	3.5	5.4
375	amour	6.4	5.4	5.9
376	amp	5.8	5.0	5.1
377	amphibian	5.4	3.4	5.4
378	amphibious	5.8	5.7	4.8
379	ample	5.9	3.3	6.0
380	amputate	2.1	5.4	3.0
381	amputation	1.8	4.9	2.8
382	amuck	4.0	4.4	3.7
383	amulet	5.8	4.0	5.8
384	amuse	7.1	5.2	6.8
385	amused	7.0	4.3	5.9
386	amusement	7.0	4.8	6.6
387	amusing	7.6	5.2	6.8
388	anaconda	4.4	6.0	4.1
389	anagram	4.4	3.9	4.8
390	anal	4.0	4.3	4.4
391	analogy	5.2	4.0	5.3
392	analysis	5.2	3.7	6.0
393	analyst	5.0	3.2	4.8
394	analytical	6.0	4.1	6.4
395	analyze	5.6	4.1	6.0
396	analyzer	4.6	3.5	5.9
397	anaphylactic	4.0	5.6	4.2
398	anarchist	2.8	4.2	4.6
399	anarchy	3.7	4.9	3.1
400	anatomy	6.3	4.4	6.0
401	ancestor	6.4	3.7	4.8
402	ancestral	6.6	3.6	5.0
403	ancestry	6.3	3.7	4.2
404	anchor	5.2	3.3	5.3
405	anchorage	5.1	3.8	5.8
406	ancient	7.2	3.5	4.9
407	android	5.6	3.5	5.8
408	anecdote	5.6	4.6	6.0
409	anemia	3.0	4.1	3.6
410	anemic	3.4	3.4	3.1
411	anesthesia	4.8	3.6	3.0
412	anesthesiologist	5.0	3.6	3.7
413	anesthetic	5.5	3.2	4.7
414	aneurysm	2.5	5.4	2.7
415	angel	7.7	4.2	5.9
416	angelic	6.7	4.3	6.3
417	anger	2.5	5.9	5.1
418	angina	2.8	4.7	4.0
419	angiogram	4.2	3.6	4.3
420	angle	4.6	3.2	5.3
421	angora	5.6	3.0	5.0
422	angry	2.5	6.2	4.1
423	angst	3.5	5.8	3.6
424	anguish	3.1	5.4	4.3
425	anguished	2.8	4.8	2.9
426	animal	7.1	4.3	5.7
427	animated	6.6	5.8	6.7
428	animation	6.4	5.5	5.2
429	animosity	3.4	5.8	5.0
430	ankle	5.4	3.1	5.6
431	anklet	4.8	3.6	5.1
432	annals	4.8	2.6	5.0
433	annex	4.4	4.0	5.3
434	annihilate	3.2	6.4	4.6
435	annihilation	2.6	5.5	3.2
436	anniversary	7.0	4.0	6.9
437	announce	5.5	3.6	5.5
438	announcement	5.8	4.3	5.0
439	announcer	5.8	4.5	4.1
440	annoy	2.5	5.0	4.6
441	annoyance	3.0	4.1	3.4
442	annoyed	2.8	5.3	4.1
443	annoying	3.0	5.6	3.3
444	annual	5.2	3.7	4.9
445	annul	3.8	4.2	4.9
446	annulment	4.0	4.1	4.2
447	anointed	4.8	3.3	5.2
448	anomaly	4.8	4.2	4.3
449	anonymity	4.8	3.3	5.9
450	anonymous	5.8	4.1	5.5
451	anorexic	2.7	4.2	3.4
452	answer	6.1	4.0	6.0
453	ant	3.9	3.3	5.3
454	antagonistic	4.3	4.1	4.4
455	antagonize	3.2	5.0	4.0
456	antelope	5.7	4.5	5.6
457	antenna	5.4	3.2	5.7
458	anterior	4.9	3.4	4.6
459	anthem	6.0	4.5	6.3
460	anthill	4.3	4.6	4.8
461	anthrax	2.3	4.7	2.7
462	anthropological	5.5	3.8	5.1
463	anthropologist	5.7	3.3	5.2
464	anthropology	5.3	2.9	6.0
465	anti	4.5	4.2	5.0
466	antiaircraft	4.8	4.6	4.7
467	antibiotic	5.9	4.0	5.7
468	antibiotics	5.0	4.0	5.1
469	antichrist	2.4	5.6	4.4
470	anticipate	6.0	5.7	5.4
471	anticipation	5.3	5.4	5.5
472	antics	4.0	5.1	5.2
473	antidote	6.6	3.2	6.1
474	antigravity	5.7	5.1	3.8
475	antiquated	5.0	5.0	4.7
476	antique	6.5	4.0	5.8
477	antiques	6.6	3.7	5.2
478	antiseptic	4.6	3.2	4.8
479	antisocial	3.2	5.3	5.3
480	antsy	4.4	5.2	3.8
481	anus	2.9	4.4	5.0
482	anvil	5.0	4.4	5.4
483	anxiety	2.4	4.8	3.4
484	anxious	3.8	6.2	4.2
485	anytime	5.8	4.6	5.3
486	aorta	4.4	3.6	4.4
487	aortic	4.2	3.5	4.6
488	apache	5.2	3.7	5.0
489	apartment	5.7	3.8	5.3
490	apartments	5.0	3.3	5.2
491	apathy	3.7	3.8	5.2
492	ape	5.2	4.2	5.4
493	apex	5.5	3.5	5.2
494	aphrodisiac	6.4	6.0	5.0
495	apocalypse	3.2	5.0	2.6
496	apologetic	6.6	4.0	5.0
497	apologize	4.9	3.5	4.2
498	apology	6.2	4.0	5.1
499	apostle	5.5	4.4	4.7
500	apothecary	5.5	4.2	5.4
501	appalled	3.6	4.9	4.1
502	appalling	3.0	5.5	4.6
503	apparatus	5.5	4.0	5.1
504	apparel	5.4	4.3	6.2
505	apparent	5.0	3.2	6.4
506	apparition	4.8	4.8	4.4
507	appeal	6.3	3.6	5.4
508	appear	5.2	3.2	5.4
509	appearance	6.1	4.6	5.9
510	appease	6.0	3.6	5.6
511	appendage	4.2	4.4	5.3
512	appendectomy	3.0	6.1	3.6
513	appendicitis	1.9	5.1	2.7
514	appendix	4.8	2.9	4.2
515	appetite	6.2	5.4	5.6
516	appetizer	7.3	4.5	6.4
517	appetizing	7.0	4.8	6.2
518	applaud	6.7	5.0	5.9
519	applause	7.1	5.4	6.6
520	apple	6.6	3.5	6.4
521	apple juice	7.3	3.2	6.0
522	applejack	5.8	3.8	5.7
523	applesauce	6.9	2.8	6.4
524	appliance	5.2	2.8	5.0
525	applicant	4.9	4.0	5.1
526	application	5.0	4.5	4.3
527	apply	5.2	3.2	6.2
528	appoint	6.0	4.2	5.6
529	appointment	4.4	4.8	6.7
530	appraisal	5.1	4.1	5.6
531	appreciate	7.3	3.1	7.0
532	appreciation	7.3	4.7	6.6
533	appreciative	7.1	4.4	6.9
534	apprehend	4.1	5.1	4.5
535	apprehension	4.2	4.2	5.1
536	apprehensive	3.3	4.8	4.6
537	apprentice	6.0	3.6	5.0
538	approach	5.4	4.5	6.0
539	appropriate	6.1	4.0	5.0
540	approval	6.8	3.5	6.6
541	approve	7.0	4.1	7.3
542	approximate	5.3	3.8	5.0
543	apricot	6.0	4.3	5.9
544	apron	5.8	2.9	5.3
545	apt	5.6	4.0	6.0
546	aptitude	6.0	4.6	5.4
547	aqua	6.5	3.6	4.8
548	aquamarine	6.4	3.9	5.0
549	aquarium	6.4	4.3	6.1
550	aquatic	6.8	3.6	4.5
551	arbitrary	4.2	4.6	4.8
552	arbitration	4.1	4.4	4.2
553	arcade	6.4	6.1	6.8
554	arcane	5.2	3.6	5.6
555	arch	5.8	3.2	5.4
556	archaeological	6.0	4.5	5.2
557	archaeologist	5.4	4.1	5.2
558	archaeology	6.1	3.9	5.3
559	archaic	4.5	4.4	4.6
560	archangel	7.3	4.2	4.8
561	archbishop	4.7	3.8	4.7
562	archdiocese	4.0	3.4	4.0
563	archduke	4.2	3.6	5.7
564	archery	5.2	4.4	5.7
565	architect	6.2	3.2	6.0
566	architectural	6.3	4.0	5.2
567	architecture	6.0	4.4	5.7
568	archive	4.8	4.2	5.2
569	arctic	4.4	3.9	5.0
570	ardent	5.0	4.6	5.3
571	area	5.6	2.2	5.1
572	arena	5.8	4.2	6.0
573	argue	3.2	6.7	4.8
574	argument	2.6	5.2	5.6
575	argumentative	3.2	5.6	4.0
576	arise	6.2	4.8	5.9
577	aristocracy	5.2	4.2	5.1
578	aristocrat	4.3	3.6	4.9
579	aristocratic	5.8	3.2	4.4
580	arithmetic	5.0	4.0	5.5
581	ark	6.2	3.5	5.9
582	arm	5.4	3.4	6.0
583	armada	4.6	3.3	5.6
584	armament	5.0	4.6	5.4
585	armchair	5.7	2.8	5.8
586	armed	4.1	6.3	5.7
587	armor	6.1	3.3	6.3
588	armored	5.7	3.5	5.7
589	armory	5.2	4.5	5.7
590	armpit	4.1	3.6	5.2
591	army	4.6	4.5	4.6
592	aroma	7.6	4.4	6.1
593	arouse	6.7	6.2	6.1
594	aroused	6.0	7.3	5.6
595	arraignment	3.9	4.6	5.3
596	arrange	5.2	3.6	6.7
597	arrangement	5.7	3.0	5.5
598	array	5.9	3.7	5.6
599	arrest	2.3	6.9	3.1
600	arrhythmia	3.9	5.0	4.2
601	arrival	6.7	3.6	6.5
602	arrive	6.4	5.0	6.8
603	arrogance	2.6	4.6	5.0
604	arrogant	2.5	5.2	4.6
605	arrow	5.2	3.9	5.5
606	arsenal	4.4	5.5	5.2
607	arsenic	3.0	4.7	3.5
608	arson	2.3	5.4	3.8
609	arsonist	2.5	7.0	3.4
610	art	6.8	4.5	6.0
611	arterial	4.0	3.4	4.1
612	artery	4.3	4.1	4.8
613	arthritis	2.3	4.3	2.6
614	artichoke	5.3	3.5	5.5
615	article	5.7	3.5	5.7
616	articulate	6.6	4.3	6.9
617	artifact	6.2	5.0	5.7
618	artificial	3.9	4.2	4.6
619	artillery	4.1	4.6	4.6
620	artist	6.8	4.1	7.0
621	artiste	6.3	3.0	5.4
622	artistic	7.0	5.0	6.9
623	artistry	6.9	4.7	7.4
624	artwork	6.8	4.2	6.3
625	arty	6.6	5.5	5.5
626	asbestos	2.2	4.4	3.0
627	ascend	6.2	4.1	5.6
628	ascendant	5.3	3.2	5.8
629	ascending	5.1	3.7	5.6
630	ascension	5.8	5.4	5.4
631	ascertain	5.3	3.2	6.3
632	ashamed	2.5	5.6	4.6
633	ashtray	3.5	3.5	5.6
634	asinine	5.0	4.6	4.8
635	ask	6.0	3.5	6.3
636	asleep	6.5	2.0	4.3
637	asparagus	5.4	2.7	5.7
638	aspect	4.9	3.4	4.8
639	aspen	6.6	4.1	5.5
640	asphalt	4.5	3.2	4.6
641	asphyxia	2.2	6.1	2.4
642	asphyxiation	1.5	6.9	2.5
643	aspiration	6.3	5.0	5.9
644	aspire	6.4	3.7	6.8
645	aspirin	5.3	3.4	5.1
646	aspiring	6.9	4.4	6.8
647	ass	5.4	5.4	3.6
648	assailant	3.2	5.7	3.0
649	assassin	2.1	5.8	3.4
650	assassinate	3.3	6.4	3.2
651	assassination	1.8	6.2	4.0
652	assault	2.0	6.8	3.5
653	assemble	5.1	3.5	6.3
654	assembly	5.5	4.0	4.8
655	assemblyman	5.0	3.1	5.2
656	assert	5.7	4.6	5.9
657	assertive	5.4	5.6	6.0
658	assess	5.8	3.4	5.2
659	assessment	5.2	2.8	5.4
660	asset	7.2	4.4	6.0
661	asshole	2.1	6.4	2.9
662	assign	4.8	3.7	5.7
663	assignment	5.4	4.4	6.0
664	assimilate	4.6	4.2	5.2
665	assist	6.0	3.8	6.4
666	assistance	5.8	3.8	6.4
667	assistant	5.9	4.8	6.4
668	associate	5.2	3.1	4.9
669	association	5.5	3.7	6.1
670	assorted	5.8	3.5	5.4
671	assortment	5.6	3.9	5.8
672	assume	4.4	4.2	6.2
673	assumption	4.3	4.1	5.0
674	assurance	6.0	2.8	6.1
675	assure	6.3	3.1	6.5
676	asterisk	5.4	2.8	5.7
677	asteroid	5.0	5.6	3.7
678	asthma	2.4	4.5	3.5
679	asthmatic	3.3	3.4	3.8
680	astonish	5.6	5.4	6.0
681	astonished	6.4	5.7	4.9
682	astonishing	6.5	5.8	5.2
683	astound	6.3	5.0	5.6
684	astral	5.3	5.1	5.3
685	astrology	4.8	4.2	4.7
686	astronaut	6.7	4.4	5.3
687	astronomer	5.6	5.4	5.3
688	astronomical	6.4	5.0	5.1
689	astronomy	6.0	4.3	5.2
690	astute	6.2	3.2	6.0
691	asylum	3.2	5.6	3.5
692	atheist	4.6	4.8	5.4
693	athlete	6.2	4.8	6.0
694	athletic	6.8	5.0	6.1
695	athletics	6.1	4.9	6.2
696	atlas	6.0	2.5	5.7
697	atmosphere	6.0	4.0	4.9
698	atmospheric	5.7	4.1	5.1
699	atoll	5.1	3.6	4.7
700	atom	5.7	4.3	5.4
701	atomic	4.3	5.8	4.0
702	atone	5.6	4.0	5.6
703	atrium	6.0	3.6	5.2
704	atrocious	3.1	4.1	4.4
705	atrocity	3.0	5.0	3.0
706	atrophy	3.2	3.9	4.0
707	attach	5.3	3.8	4.7
708	attachment	6.0	3.0	6.3
709	attack	2.0	7.0	3.4
710	attacker	2.2	7.3	4.3
711	attain	5.8	3.1	7.1
712	attempt	6.0	4.9	5.7
713	attempted	5.4	3.6	6.5
714	attend	5.4	3.5	6.7
715	attendance	6.0	4.2	5.6
716	attendant	5.6	3.1	5.1
717	attention	6.7	4.0	6.5
718	attentive	6.4	4.4	6.6
719	attest	5.1	3.7	6.3
720	attic	5.0	3.4	5.4
721	attire	6.2	4.0	5.8
722	attitude	4.7	4.8	5.9
723	attorney	3.7	4.8	5.5
724	attract	6.4	5.4	5.6
725	attraction	7.0	5.4	4.6
726	attractive	7.2	4.9	6.8
727	attribute	5.7	4.1	6.0
728	auburn	5.9	3.6	5.6
729	auction	5.4	4.5	5.3
730	auctioneer	5.1	4.0	5.4
731	audacious	5.1	4.3	5.4
732	audacity	5.2	4.1	5.3
733	audible	6.0	4.4	6.3
734	audience	5.9	4.9	5.1
735	audio	6.6	4.3	6.0
736	audit	2.8	5.8	3.7
737	audition	5.2	4.2	6.0
738	auditor	3.3	3.7	5.2
739	auditorium	6.0	4.4	5.0
740	auditory	5.0	4.5	6.1
741	aunt	6.6	2.7	4.3
742	auntie	6.2	3.6	5.8
743	aura	6.4	4.7	5.6
744	auspicious	4.8	3.4	5.5
745	authentic	6.9	4.6	6.6
746	authenticate	5.1	4.4	5.8
747	authenticity	6.8	4.4	6.2
748	author	6.3	2.7	6.4
749	authority	4.8	5.4	5.2
750	authorization	5.9	4.3	4.8
751	authorize	5.4	4.7	6.5
752	autism	3.2	4.1	3.1
753	autistic	3.6	4.2	2.4
754	auto	5.0	5.0	5.7
755	autobiographical	4.8	3.7	5.9
756	autobiography	5.8	2.8	6.5
757	autograph	6.2	3.6	6.1
758	autographed	6.1	4.6	6.4
759	automated	4.7	4.0	4.5
760	automatic	6.0	3.7	5.3
761	automobile	5.4	3.9	6.0
762	automotive	5.4	4.5	5.4
763	autonomy	5.0	4.1	6.2
764	autopilot	5.6	4.1	3.7
765	autopsy	2.6	4.4	3.2
766	autumn	7.1	3.2	5.2
767	auxiliary	5.3	3.6	5.8
768	avail	5.4	3.8	6.0
769	availability	5.7	4.4	5.5
770	available	6.9	4.0	6.6
771	avalanche	4.0	6.6	3.2
